Date,Open,High,Low,Close,Adj Close,Volume
2024-11-13,182.15,182.62,180.12,180.49,179.70,"13,969,700"
2024-11-12,181.38,184.02,180.99,183.32,182.52,"14,065,800"
2024-11-11,180.07,182.09,179.99,181.97,181.18,"12,503,400"
2024-11-08,182.00,182.35,179.57,179.86,179.08,"15,021,500"
2024-11-07,179.11,182.58,178.89,182.28,181.49,"16,730,400"
2024-11-06,175.35,178.64,175.04,178.33,177.55,"27,061,500"
2024-11-05,170.83,172.10,170.37,171.41,170.66,"12,518,300"
2024-11-04,171.24,171.92,169.49,170.68,169.94,"16,194,000"
2024-11-01,171.54,173.82,170.31,172.65,171.90,"21,752,900"
2024-10-31,174.72,178.42,172.56,172.69,171.94,"32,801,900"
2024-10-30,182.41,183.79,175.74,176.14,175.37,"49,698,300"
2024-10-29,169.38,171.86,168.66,171.14,170.39,"28,916,100"
2024-10-28,170.59,170.61,165.79,168.34,167.61,"20,858,300"
2024-10-25,165.37,167.40,165.23,166.99,166.26,"14,566,400"
2024-10-24,164.59,165.05,162.77,164.53,163.81,"12,764,400"
2024-10-23,166.43,167.60,163.63,164.48,163.76,"12,754,300"
2024-10-22,164.70,167.47,164.67,166.82,166.09,"11,958,600"
2024-10-21,164.58,166.22,164.30,165.80,165.08,"11,384,000"
2024-10-18,164.87,166.37,164.75,165.05,164.33,"13,091,300"
2024-10-17,167.38,167.93,164.37,164.51,163.79,"15,113,400"
2024-10-16,166.03,167.28,165.22,166.74,166.01,"9,968,500"
2024-10-15,167.14,169.09,166.05,166.90,166.17,"14,829,300"
2024-10-14,164.91,167.62,164.78,166.35,165.63,"9,981,800"
2024-10-11,163.33,165.27,162.50,164.52,163.80,"10,946,000"
2024-10-10,162.11,164.31,161.64,163.18,162.47,"12,900,500"
2024-10-09,164.85,166.26,161.12,163.06,162.35,"19,666,400"
2024-10-08,165.43,166.10,164.31,165.70,164.98,"11,723,900"
